title_id,title,year,runtime,genres,dir_list,cast_list,rating
tt0974661,17 Again,(2009),102 min,"
Comedy, Drama, Fantasy            ","['Director:', 'Burr Steers']","['Stars:', 'Zac Efron,', 'Matthew Perry,', 'Leslie Mann,', 'Thomas Lennon']",6.4
tt14129660,17 Days in September,(2018),50 min,"
Biography, Comedy            ","['Director:', 'T.C. De Witt']","['Stars:', 'Jeff Bell,', 'T.C. De Witt,', 'Chad Halvorsen,', 'Maximillian Olmsted']",
tt3124656,17 Hours,(2009),52 min,,[],[],
tt1909270,17 Miracles,(2011),113 min,"
Adventure, History            ","['Director:', 'T.C. Christensen']","['Stars:', 'Jasen Wade,', 'Emily Wadley,', 'Jason Celaya,', 'Natalie Blackman']",6.1
tt3328724,17 Seconds,(2013),53 min,"
Sport            ","['Director:', 'Patrick Dahl']",[],6.6
tt0178168,17 and Under,(1997),98 min,"
Drama            ","['Director:', 'Greg Morgan']","['Stars:', 'Cesar Herrera,', 'Shashani Lombardo,', 'Orlando Estrada,', 'Rodrigo Obregón']",6.2
tt1860152,17 Girls,(2011),86 min,"
Drama            ","['Directors:', 'Delphine Coulin,', 'Muriel Coulin']","['Stars:', 'Louise Grinberg,', 'Juliette Darche,', 'Roxane Duran,', 'Esther Garrel']",6
tt0420627,17 sui de tian kong,(2004),88 min,"
Comedy, Romance            ","['Director:', 'Yin-jung Chen']","['Stars:', 'Tony Yo-ning Yang,', 'Duncan Lai,', 'King Chin,', 'Dada Ji']",6.2
tt0455899,17000 Block,(2005),87 min,"
Drama            ","['Director:', 'Curtis Franklin']","['Stars:', 'Curtis Franklin,', 'Theo Williamson,', 'Jon E. Livernois,', 'Walter Harris']",4.9
tt0068156,1776,(1972),141 min,"
Drama, Family, History            ","['Director:', 'Peter H. Hunt']","['Stars:', 'William Daniels,', 'Howard Da Silva,', 'Ken Howard,', 'Donald Madden']",7.6
tt0094593,18 Again!,(1988),93 min,"
Comedy, Fantasy, Romance            ","['Director:', 'Paul Flaherty']","['Stars:', 'Charlie Schlatter,', 'George Burns,', 'Tony Roberts,', 'Anita Morris']",5.7
tt7385874,18 Days,(2017),92 min,"
Romance            ","['Director:', 'Rafael Ragland']",[],
tt6892088,18 Hours,(2017),70 min,"
Drama, Thriller            ","['Director:', 'Njue Kevin']","['Stars:', 'Nick Ndeda,', 'Sue Wanjiru,', 'Brian Ogola,', 'Brian Achar']",6.8
tt0026028,This Woman Is Mine,(1935),88 min,"
Drama            ","['Director:', 'Monty Banks']","['Stars:', 'Gregory Ratoff,', 'John Loder,', 'Benita Hume,', 'Kathryn Sergava']",5.7
tt0119028,18 Shades of Dust,(1999),95 min,"
Crime, Drama            ","['Director:', 'Danny Aiello III']","['Stars:', 'Danny Aiello,', 'William Forsythe,', 'Jessica DiCicco,', 'Jarrod Bunch']",4.6
tt0271337,18 ans après,(2003),90 min,"
Comedy, Drama, Romance            ","['Director:', 'Coline Serreau']","['Stars:', 'André Dussollier,', 'Michel Boujenah,', 'Roland Giraud,', 'Madeleine Besson']",4.6
tt1671616,18 Meals,(2010),101 min,"
Comedy, Drama            ","['Director:', 'Jorge Coira']","['Stars:', 'Luis Tosar,', 'Federico Pérez Rey,', 'Víctor Fábregas,', 'Esperanza Pedreño']",6.4
tt7525496,18 to Party,(2019),80 min,"
Comedy, Drama            ","['Director:', 'Jeff Roda']","['Stars:', 'Casey Marie Ecker,', 'Kevin Daniel Carey,', 'Enzo Cellucci,', 'Alivia Clark']",5.1
tt4271826,18% Grey,(2020),110 min,"
Drama            ","['Director:', 'Viktor Chouchkov']","['Stars:', 'Ruscen Vidinliev,', 'Dolya Gavanski,', 'Samuel Finzi,', 'Ron Cook']",5.7
tt1979163,180,(III) (2011),107 min,"
Comedy, Drama            ","['Director:', 'Nathan Pope']","['Stars:', 'Benjamin Wade,', 'Steve Ewing,', 'Danielle DiLorenzo,', 'Randy Evans']",7.2
tt1652361,186 Dollars to Freedom,(2012),101 min,"
Action, Drama            ","['Director:', 'Camilo Vila']","['Stars:', 'John Robinson,', 'Michael DeLorenzo,', 'Alex Meraz,', 'Johnny Lewis']",5.2
tt3044904,1864,(2014),,"
Drama            ","['Director:', 'Derrick Hammond']","['Stars:', 'Thomas Biehl,', 'Leland B. Martin,', 'Charles Wilson']",6.4
tt0381844,187 Shadow Lane,(2003),88 min,"
Drama            ","['Director:', 'Frank Nunez']","['Stars:', 'Danny Romo,', 'Robert Zepeda,', 'Tonantzin Carmelo,', 'Jesse Alvarado']",5.8
tt3959542,1870 Texas,(2014),77 min,"
Action, Adventure, Western            ","['Director:', 'William Booth']","['Stars:', 'Lance Eakright,', 'Bob Fanucchi,', 'Greg Ingram,', ""Dennis O'Neill""]",
tt0098963,1871,(1990),100 min,"
Drama, History, Romance            ","['Director:', 'Ken McMullen']","['Stars:', 'Roshan Seth,', 'John Lynch,', 'Timothy Spall,', 'Alexandre de Sousa']",6.4
tt6170048,18th Annual Animation Show of Shows,(2016),91 min,"
Animation            ","['Directors:', 'Iris Alexandre,', 'Alan Barillaro,', 'Ainslie Henderson,', 'Vladimir Leschiov,', 'Yijun Liu,', ""Bekky O'Neil,"", 'Seoro Oh,', 'Kristian Pedersen,', 'Cecilia Puglesi,', 'Dina Velikovskaya']",[],6.6
tt7325622,18½,(2021),88 min,"
Comedy, Thriller            ","['Director:', 'Dan Mirvish']","['Stars:', 'Willa Fitzgerald,', 'John Magaro,', 'Gina Kreiezmar,', 'Marija Juliette Abney']",6.8
tt1899100,American Ouija,(2011),93 min,"
Horror, Thriller            ","['Director:', 'Bruce Koehler']","['Stars:', 'Natalie Bail,', 'Norm Wash,', 'Bryan Koehler,', 'John W. Iwanonkiw']",2.5
tt0337797,19 Months,(2002),77 min,"
Comedy, Romance            ","['Director:', 'Randall Cole']","['Stars:', 'Ben Immanuel,', 'Angela Vint,', 'Kari Matchett,', 'Sergio Di Zio']",4.5
tt0407485,19 Revolutions,(2004),94 min,"
Drama            ","['Director:', 'Sridhar Reddy']","['Stars:', 'Tarun Arora,', 'Gulshan Grover,', 'Vinay Pandey,', 'Shreya Reddy']",4.7
tt0162131,1914,(1915),,"
Drama, War            ","['Director:', 'George Loane Tucker']","['Stars:', 'Jane Gail,', 'Hayford Hobbs,', 'Gerald Ames,', 'Sydney Vautier']",6.2
tt3781762,1915,(2015),82 min,"
Drama            ","['Directors:', 'Garin Hovannisian,', 'Alec Mouhibian']","['Stars:', 'Simon Abkarian,', 'Angela Sarafyan,', 'Sam Page,', 'Nikolai Kinski']",3.6
tt8579674,1917,(2019),119 min,"
Action, Drama, War            ","['Director:', 'Sam Mendes']","['Stars:', 'Dean-Charles Chapman,', 'George MacKay,', 'Daniel Mays,', 'Colin Firth']",8.2
tt0088645,1918,(1985),94 min,"
Drama            ","['Director:', 'Ken Harrison']","['Stars:', 'William Converse-Roberts,', 'Hallie Foote,', 'Matthew Broderick,', 'Rochelle Oliver']",6.1
tt6958030,1921,(2018),144 min,"
Horror, Mystery, Romance            ","['Director:', 'Vikram Bhatt']","['Stars:', 'Zareen Khan,', 'Karan Kundrra,', 'Vikram Bhatt,', 'Angela Krislinzki']",4.3
tt6214928,1922,(2017),102 min,"
Crime, Drama, Horror            ","['Director:', 'Zak Hilditch']","['Stars:', 'Thomas Jane,', 'Molly Parker,', 'Dylan Schmid,', 'Kaitlyn Bernard']",6.2
tt14478006,1929: Women War,(2019),90 min,"
Drama, History            ","['Director:', 'Moses Eskor']","['Stars:', 'Oku Akam,', 'Ndy Akan,', 'Lois Akpabio,', 'Etoro Akpan']",
tt3223936,The Great Surprise,(1983),86 min,"
Adventure, Comedy            ","['Director:', 'Yen-Ping Chu']","['Stars:', 'Brigitte Lin,', 'Sylvia Chang,', 'Kuan-Chen Hu,', 'Hsueh-Fen Peng']",5.6
tt0078723,1941,(1979),118 min,"
Action, Comedy, War            ","['Director:', 'Steven Spielberg']","['Stars:', 'John Belushi,', 'Dan Aykroyd,', 'Treat Williams,', 'Nancy Allen']",5.8
tt0109010,1942: A Love Story,(1994),157 min,"
Action, Drama, History            ","['Director:', 'Vidhu Vinod Chopra']","['Stars:', 'Anil Kapoor,', 'Jackie Shroff,', 'Manisha Koirala,', 'Anupam Kher']",7.2
tt1428989,1944,(2006),98 min,"
History, War            ","['Director:', 'Levi Hawkinson']","['Stars:', 'Daniel Beard,', 'Sam Brownlee,', 'Mike Kirby']",
tt8507312,1945: From This Day,(2018),62 min,"
Drama, War            ","['Director:', 'Rick Roberts']","['Stars:', 'Tim Seyfert,', 'Alexander Guiney,', 'Fergus Rees,', 'Gareth Bennett-Ryan']",3.7
tt5748356,1948,(2017),62 min,"
Drama            ","['Director:', 'Ken Sibanda']","['Stars:', 'Michael Chabler,', 'Victoria Freire,', 'Rachel Leah,', 'Milton Lyles']",
tt19514400,1950's Vintage Wrestling Broadcast Volume 1,(2016),93 min,"
Sport            ","['Director:', 'Rock Parsons']","['Star:', 'Adam Parsons']",
tt12769276,1957 Fa Cup - Final Aston Villa V Man Utd,(1957),,"
Sport            ",[],[],
tt1143095,1957: Hati Malaya,(2007),,"
History            ","['Director:', 'Shuhaimi Baba']","['Stars:', 'Sharifah Amani,', 'Nanu Baharuddin,', 'Man Bai,', 'Joanna Bessey']",7.5
tt1510663,1958,(2009),58 min,,"['Director:', 'Ghassan Salhab']","['Stars:', 'Aouni Kawas,', 'Zahia Salhab']",6.2
tt2006141,1959,(2016),88 min,"
Thriller            ","['Director:', 'John Swider']","['Stars:', 'Eric Roberts,', 'Zac Waggener,', 'Claire Garrett,', 'Wes Lagarde']",8
tt5879420,1962 My Country Land,(2016),109 min,"
Drama, History            ","['Director:', 'Partha Borgohain']","['Star:', 'Daniel Han']",8.2
tt4860006,1965,(2015),130 min,"
Crime, Drama, History            ","['Directors:', 'Randy Ang,', 'Daniel Yun']","['Stars:', 'Yuwu Qi,', 'Deanna Yusoff,', 'Joanne Peh,', 'James Seah']",5.2
tt0094594,1969,(1988),95 min,"
Drama, War            ","['Director:', 'Ernest Thompson']","['Stars:', 'Robert Downey Jr.,', 'Kiefer Sutherland,', 'Bruce Dern,', 'Mariette Hartley']",5.7
tt12774340,1970 FA Cup Final Replay,(1970),,"
Sport            ",[],[],
tt1043826,1970 Hot Summer Special,(1970),,,"['Director:', 'Robert Henry Mizer']","['Stars:', 'Bob Belton,', 'Kerry Daniels']",
tt12769032,1971 Fa Cup Final - Arsenal V Liverpool,(1971),,"
Sport            ",[],[],
tt13051728,1971 et Kay,(2021),,"
Drama, History, War            ","['Director:', 'Fakhrul Arefeen Khan']",[],
tt10476634,1972 Yellow House,(2013),52 min,"
Horror            ","['Director:', 'Curtis Stone']","['Stars:', 'Megan Dewitt,', 'Paula Lopez,', 'Mark McIntire,', 'Cj Ward']",2.8
tt12833132,1974 Fa Cup Final - Liverpool Vs Newcastle,(1974),,"
Sport            ",[],[],
tt12775034,1975 FA Cup Final West Ham United v Fulham,(1975),,"
Sport            ",[],[],
tt9529556,198 Grand,(2019),105 min,"
Crime            ","['Director:', 'Andy Frith']","['Stars:', 'Andy Frith,', 'Dean Kilbey,', 'Cyrus Desir,', 'Simon Allen']",5.1
tt13475392,1982,(II) (2019),92 min,"
History            ","['Director:', 'Lucas Gallo']",[],7.2
tt2388621,1982,(I) (2013),90 min,"
Drama            ","['Director:', 'Tommy Oliver']","['Stars:', 'Bokeem Woodbine,', 'Quinton Aaron,', 'La La Anthony,', 'Wayne Brady']",6.9
tt7725384,1982,(I) (2019),100 min,"
Drama, History, Romance            ","['Director:', 'Oualid Mouaness']","['Stars:', 'Mohamad Dalli,', 'Fidel Badran,', 'Gia Madi,', 'Ghassan Maalouf']",6.7
tt19514524,1983 Portland TV Yearbook Volume 1,(2018),143 min,"
Sport            ","['Director:', 'Rock Parsons']","['Star:', 'Adam Parsons']",
tt0048918,1984,(1956),90 min,"
Drama, Sci-Fi            ","['Director:', 'Michael Anderson']","['Stars:', ""Edmond O'Brien,"", 'Michael Redgrave,', 'Jan Sterling,', 'David Kossoff']",6.9
tt12459594,1984 UEFA Cup Final: Tottenham Hotspur Vs Anderlecht,(1984),,"
Sport            ","['Stars:', 'Steve Archibald,', 'Osvaldo Ardiles,', 'Frank Arnesen,', 'Mark Bowen']",[],
tt15250664,1984: Theatrical play,(2021),59 min,"
Drama            ","['Director:', 'Bertha Vega']","['Stars:', 'Winston Ono,', 'Dana Lomeli,', 'Alex Wolfmova,', 'Eugenio Castillo']",
tt5932546,1985,(II) (2016),114 min,"
Adventure, Comedy, Drama            ","['Director:', 'Kang Vang']","['Stars:', 'Chang Yang,', 'Mai Youa Her,', 'Vue Pao Her,', 'Antonio Hunt']",7.9
tt6411590,1985,(2018),85 min,"
Drama            ","['Director:', 'Yen Tan']","['Stars:', 'Cory Michael Smith,', 'Virginia Madsen,', 'Michael Chiklis,', 'Jamie Chung']",7.1
tt12769156,1985 Fa Cup Final - Manchester United V Everton,(1985),,"
Reality-TV            ","['Stars:', 'Ron Atkinson,', 'Gary Bailey,', 'Mark Hughes,', 'Paul McGrath']",[],
