title,genres
Harry Potter and the Prisoner of Azkaban,"adventure, family, fantasy"
Ferris Bueller's Day Off,comedy
The Conjuring,"horror, mystery, thriller"
The Lord of the Rings: The Two Towers,"action, adventure, drama"
"Yes, God, Yes","comedy, drama"
The Fly,"drama, horror, sci-fi"
Arrival,"drama, mystery, sci-fi"
Us,"horror, mystery, thriller"
Field of Dreams,"drama, family, fantasy"
Transformers,"action, adventure, sci-fi"
Minority Report,"action, crime, mystery"
The Fallout,drama
The Perks of Being a Wallflower,"drama, romance"
Margin Call,"drama, thriller"
Forgetting Sarah Marshall,"comedy, drama, romance"
Pretty Woman,"comedy, romance"
Fifty Shades Darker,"drama, romance"
True Romance,"crime, drama, romance"
Nymphomaniac: Vol. I,drama
Wonder Woman 1984,"action, adventure, fantasy"
Speed,"action, adventure, thriller"
Nightcrawler,"crime, drama, thriller"
King Richard,"biography, drama, sport"
The Social Network,"biography, drama"
The Rock,"action, adventure, thriller"
Logan,"action, drama, sci-fi"
Snatch,"comedy, crime"
Justice League,"action, adventure, fantasy"
Kingdom of Heaven,"action, adventure, drama"
Independence Day: Resurgence,"action, adventure, sci-fi"
The Lost Boys,"comedy, horror"
The Spectacular Now,"comedy, drama, romance"
Downsizing,"drama, fantasy, sci-fi"
Spencer,"biography, drama"
Mulholland Drive,"drama, mystery, thriller"
Beauty and the Beast,"adventure, family, fantasy"
Batman,"action, adventure"
American History X,"crime, drama"
Irreversible,"crime, drama, mystery"
The Town,"crime, drama, thriller"
Scary Movie,comedy
Spider-Man: Far from Home,"action, adventure, sci-fi"
Green Book,"biography, comedy, drama"
Willy Wonka & the Chocolate Factory,"family, fantasy, musical"
War Dogs,"biography, comedy, crime"
Spider-Man 2,"action, adventure, sci-fi"
Heathers,"comedy, crime"
Basic Instinct,"drama, mystery, thriller"
Closer,"drama, romance"
Looper,"action, drama, sci-fi"
The Lost Daughter,drama
"O Brother, Where Art Thou?","adventure, comedy, crime"
The Harder They Fall,"action, drama, western"
Virgin Territory,"adventure, comedy, history"
Labyrinth,"adventure, family, fantasy"
When Harry Met Sally...,"comedy, drama, romance"
